Year,Location,Title,Author,Link
2004,Ottawa,"Proposal for Additional CPC Detail, Food and Beverage Services (paper)","Martínez, Mayer Fallena",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-075.pdf
2004,Ottawa,"Proposal for Additional CPC Detail, Food and Beverage Services (ppp)","Martínez, Mayer Fallena",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-110.pdf
2004,Ottawa,Service Price Index for Bookkeeping and Accounting Services (paper),"Assaf, Sima",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-033.pdf
2004,Ottawa,"Product classifications for accounting, bookkeeping and auditing services; tax consultancy services and business and management consultancy services - relevance test based on data collected in the EU and US - paper","Lennartsson, Daniel",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-077.pdf
2004,Ottawa,"Product classifications for accounting, bookkeeping and auditing services; tax consultancy services and business and management consultancy services - relevance test based on data collected in the EU and US - paper","Alajääskö, Pekka",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-077.pdf
2004,Ottawa,"Product classifications for accounting, bookkeeping and auditing services; tax consultancy services and business and management consultancy services - relevance test based on data collected in the EU and US - paper","Hertzman, Cecilia",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-077.pdf
2004,Ottawa,First Experimental Indices for Advertising and Scheduled Air Transport (paper),"Puchter, Christian",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-026.pdf
2004,Ottawa,First Experimental Indices for Advertising and Scheduled Air Transport (paper),"Auer, Josef",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-026.pdf
2004,Ottawa,Advertising Services in Austria (ppp),"Auer, Josef",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-112.pdf
2004,Ottawa,Turnover by Product Advertising Spanish Experience (paper),"Gimeno, María Velasco",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-078.pdf
2004,Ottawa,Turnover by Product Advertising Sector. 74.4 NACE Rev.1.1 (ppp),EU,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-088.pdf
2004,Ottawa,CPC Environmental Products Update - Results of the 2002 Economic Census (ppp),"Murphy, John B.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-132.pdf
2004,Ottawa,The French PPI for Provision of Temporary Workers and Labor Recruitment (paper),"Buisson, Benoît",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-061.pdf
2004,Ottawa,Producer Price Indexes for Labour Recruitment and the Provision of Temporary Workers within Australia (paper),"Williams, Daryl",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-062.pdf
2004,Ottawa,Producer Price Indexes for Labour Recruitment and the Provision of Temporary Workers within Australia (paper),"Moore, Jo-Marie",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-062.pdf
2004,Ottawa,Development of a UK Price Index for Labour Recruitment Services (paper),"Davies, Pam",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-063.pdf
2004,Ottawa,Development of a UK Price Index for Labour Recruitment Services (paper),"Luke, Anthony",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-063.pdf
2004,Ottawa,The Development of a price index for LABOUR RECRUITMENT SERVICES in the United Kingdom (ppp),"Clode, Tim",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-109.pdf
2004,Ottawa,PPI for provision of temporary workers - The French experiment (ppp),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-100.pdf
2004,Ottawa,Employment Placement and Contract Staff Services (ppp),Australian Bureau of Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-129.pdf
2004,Ottawa,Price Indexes for Property and Casualty Insurance (paper),"Bathgate, Deanna",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-030.pdf
2004,Ottawa,Insurance Services in Japan's Corporate Service Price Index (CSPI) (paper),"Moriya, Kuniko",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-031.pdf
2004,Ottawa,Producer Price Index for Property and Casualty Insurance (ppp),Bank of Japan,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-093.pdf
2004,Ottawa,The New Price Index Manuals (paper),"Armknecht, Paul A.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-028.pdf
2004,Ottawa,Introduction: the New Price Index Manuals (ppp),IMF,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-119.pdf
2004,Ottawa,OECD - Eurostat 2004 Inquiry on National Collection of Services Producer Prices (paper),"Varjonen, Seppo",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-029.pdf
2004,Ottawa,Producer price index for services in Vietnam (paper),"Lien, Nguyen Thi",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-034.pdf
2004,Ottawa,Progress on the Development of ANZSIC 2006 (paper),"Collins, Sonia",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-038.pdf
2004,Ottawa,Use of Function Points for PPIs (ppp),Australian Bureau of Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-130.pdf
2004,Ottawa,Quality Adjustment for Small Countries (ppp),Statistics Sweden,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-137.pdf
2004,Ottawa,Producer Price Index for Services. Some remarks on the sampling and the charge-out rates method (paper),"Buisson, Benoît",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-053.pdf
2004,Ottawa,A Proposal for Improving Business Services Price Indexes (paper),Statistics Canada,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-054.pdf
2004,Ottawa,A Proposal for Improving Business Services Price Indexes (ppp),Statistics Canada,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-127.pdf
2004,Ottawa,Statistical gaps: The challenges facing the service programmes at Statistics Canada (paper),"Ducharme, Louis Marc",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-071.pdf
2004,Ottawa,Towards a strategy for improving European services sector statistics (paper),"Nielsen, Peter Boeegh",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-072.pdf
2004,Ottawa,Cooperation between product data and PPI for services - Example Sweden (paper),"Norrman, Vera",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-080.pdf
2004,Ottawa,A French survey on management of intangible assets (ppp),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-122.pdf
2004,Ottawa,Classification and Turnover in Vietnamese Service Statistics (papers),"Lien, Nguyen Thi",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-082.pdf
2004,Ottawa,Prototype Compilation Manual for a Monthly Index of Service Production (paper),STESEG Task Force on Services,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-083.pdf
2004,Ottawa,An overview of an Index of Services Production manual (ppp),"Hong, Eun-Pyo",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-136.pdf
2004,Ottawa,Demand for services (papers),"Thomasen, Jens",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-084.pdf
2004,Ottawa,Demand for services (papers),"Mortensen, Maja F.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-084.pdf
2004,Ottawa,Demand For Services (ppp),"Thomasen, Jens",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-096.pdf
2004,Ottawa,"OECD Work on the Service Economy: Some Issues for Measurement and a Workshop on Services, 15-16 November 2004 (paper)","Pilat, Dirk",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-085.pdf
2004,Ottawa,Some remarks on charge-out rates method (ppp),INSEE (France),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-099.pdf
2004,Ottawa,Section D - Sources and methods for compiling an ISP (ppp),"Pike, Rob",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-101.pdf
2004,Ottawa,Rebasing the UK Corporate Services Price Index (ppp),"Davies, Pam",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-117.pdf
2004,Ottawa,Australian and New Zealand Standard Industrial Classification (ANZSIC06) (ppp),Australian Bureau of Statistics,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-124.pdf
2004,Ottawa,Australian and New Zealand Standard Industrial Classification (ANZSIC06) (ppp),Statistics New Zealand,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-124.pdf
2004,Ottawa,International service statistics coordination and strategy? (ppp),"Cave, Bill",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-138.pdf
2004,Ottawa,Infrastructure and Terminology for the Index of Service Production (ppp),"Lefrançois, Bernard",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-140.pdf
2004,Ottawa,Inter-Enterprise Relations (paper),Statistics Denmark,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-145.pdf
2004,Ottawa,Quality Adjustment For Small Countries (paper),"Norrman, Vera",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-052.pdf
2004,Ottawa,A New Quality Adjustment Methodology for Nursing Home Price Indexes (paper),"Agliata, Michael A.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-050.pdf
2004,Ottawa,A New Quality Adjustment Methodology for Nursing Home Price Indexes (paper),"Lucier, John L.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-050.pdf
2004,Ottawa,Appendix: The Effect of the New Quality Adjustment Methodology for Nursing Home Price Indexes (paper),"Agliata, Michael A.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-051.pdf
2004,Ottawa,Appendix: The Effect of the New Quality Adjustment Methodology for Nursing Home Price Indexes (paper),"Lucier, John L.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-051.pdf
2004,Ottawa,Update on Nursing Homes Quality Adjustment - Case Study in Alternative Quality Adjustment Methodology (ppp),"Agliata, Michael A.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-090.pdf
2004,Ottawa,Update on Nursing Homes Quality Adjustment - Case Study in Alternative Quality Adjustment Methodology (ppp),"Lucier, John L.",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-090.pdf
2004,Ottawa,Quality adjustment method in prepackaged software in Japan's 2000 base Corporate Service Price Index (ppp),"Utsunomiya, Kiyohito",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-094.pdf
2004,Ottawa,Methodological reference manual for statistics on the Knowledge-based Economy (paper),Statistics Denmark,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-064.pdf
2004,Ottawa,Statistics for the Information Society and the Knowledge-based Economy Methodological Manual (paper),"Madsen, Marlene",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-065.pdf
2004,Ottawa,Statistics for the Information Society and the Knowledge-based Economy Methodological Manual (paper),"Månsson, Helle",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-065.pdf
2004,Ottawa,Statistics for the Information Society and the Knowledge-based Economy Methodological Manual (paper),"Thomasen, Jens",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-065.pdf
2004,Ottawa,Statistics for the Information Society and the Knowledge-based Economy Methodological Manual (paper),"Lundow, Martin",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-065.pdf
2004,Ottawa,Statistics for the Information Society and the Knowledge-based Economy - Methodological Manual (ppp),"Thomasen, Jens",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-106.pdf
2004,Ottawa,Information Society Statistics (paper),Central Bureau of Statistics (Israel),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-066.pdf
2004,Ottawa,Development of indicators on e-government at EU level and preliminary information on a 2004 pilot survey for ICT usage in enterprises of the financial sector (paper),"Buchow, Hartmut",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-067.pdf
2004,Ottawa,Indicators on e-government at EU level and preliminary information on a pilot survey for ICT usage in enterprises of the financial sector (ppp),Eurostat,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-123.pdf
2004,Ottawa,Eurostat model for a Community Pilot Survey on ICT usage in selected NACE J enterprises 2004 (Final version 6 of 13 November 2003) (paper),Eurostat,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-068.pdf
2004,Ottawa,Eurostat model for a Community survey on ICT usage in households and by individuals 2004 (Rev. Version 10 of 23 February 2004) (paper),Eurostat,https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-069.pdf
2004,Ottawa,OECD work on measuring the Information Society (paper),"Roberts, Sheridan",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-070.pdf
2004,Ottawa,OECD work on measuring the Information Society (ppp),"Roberts, Sheridan",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-111.pdf
2004,Ottawa,Classifying Information and Communication Technology (ICT) Services (paper),WPIIS (OECD),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-079.pdf
2004,Ottawa,ICT services in the CPC - A proposal by the Working Party on Indicators for the Information Society (WPIIS),WPIIS (OECD),https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-141.pdf
2004,Ottawa,"PPI for Legal Activity, Auditing and Tax Consulting Services in Germany (paper)","Stroh, Astrid",https://www.voorburggroup.org/Documents/2004%20ottawa/papers/2004-027.pdf
