Year,Location,Format,Title,ISIC Section,2 digit ISIC Division,Author,Type,Theme,Topic,Link
2022,Ottawa,Video,Welcome Remarks by Statistics Canada,NA,NA,"Arora, Anil",Welcome remarks,Other,General,https://drive.google.com/file/d/1_U5L4uEzYj0ntXvyNqTGHXBWlk1p8PXR/view?usp=sharing
2022,Ottawa,Paper,The Value of Imports and Exports of Trade in Goods and Services between Countries (Trade Asymmetries),Cross cutting,Cross cutting,"Jeremy, John",Cross cutting,Prices,Trade in services,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1001.pdf
2022,Ottawa,Presentation,Call for collaboration: Trade asymmetries research and Trade deflator research,Cross cutting,Cross cutting,"Jeremy, John",Cross cutting,Prices,Trade in services,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1050.pdf
2022,Ottawa,Paper,Singapore’s Experience in Developing Online Marketplaces SPPI,Cross cutting,Cross cutting,"Boey, Edwin",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1002.pdf
2022,Ottawa,Presentation,Singapore’s Experience in Developing Online Marketplaces SPPI,Cross cutting,Cross cutting,"Boey, Edwin",Cross cutting,Output and Price,E-Commerce,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1003.pdf
2022,Ottawa,Paper,Data Center Colocation,J - Information and communication,63 - Information service activities,"Matthijs, Dennis",Issues Paper,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1004.pdf
2022,Ottawa,Presentation,Data Center Colocation,J - Information and communication,63 - Information service activities,"Matthijs, Dennis",Issues Paper,Output and Price,General,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1005.pdf
2022,Ottawa,Paper,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Beaulieu, Martin J.",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1006.pdf
2022,Ottawa,Presentation,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Beaulieu, Martin J.",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1025.pdf
2022,Ottawa,Paper,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Dawson, Anthony",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1006.pdf
2022,Ottawa,Presentation,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Dawson, Anthony",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1025.pdf
2022,Ottawa,Paper,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Draper, Rohan",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1006.pdf
2022,Ottawa,Presentation,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Draper, Rohan",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1025.pdf
2022,Ottawa,Paper,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Kilbey, Scott",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1006.pdf
2022,Ottawa,Presentation,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Kilbey, Scott",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1025.pdf
2022,Ottawa,Paper,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Virgin, Kyle",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1006.pdf
2022,Ottawa,Presentation,Guidelines for Incorporating Alternative Data Sources in Official Statistics,NA,NA,"Virgin, Kyle",Cross Cutting,Output and Price,Administrative / Alternative Data,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1025.pdf
2022,Ottawa,Presentation,U.S. Export Postsecondary Education Price Indexes,P - Education,85 - Education,"Swegal, Hayden",Sector Paper,Output and Price,Trade in services,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1007.pdf
2022,Ottawa,Presentation,U.S. Export Postsecondary Education Price Indexes,P - Education,85 - Education,"Halwani, Heather",Sector Paper,Output and Price,Trade in services,https://www.voorburggroup.org/Documents/2022%20Ottawa/Papers/1007.pdf
